OBJECTID,SUBJ_STATE,FEATURE,Shape__Area,Shape__Length
836,OREGON,2,9511.50936889648,612.361365435639
837,OREGON,2,3730.31420898438,292.718789341113
838,OREGON,2,11147.8979492188,595.666259142031
839,OREGON,2,8510.29232788086,426.975592356341
840,OREGON,2,15712.5640563965,713.68750935784
841,OREGON,2,4225.54971313477,246.193671134482
842,OREGON,2,10022.8749389648,481.698584269542
843,OREGON,2,2815.22836303711,209.001071233179
844,OREGON,2,3929.48501586914,243.481420563729
845,OREGON,2,7821.27694702148,384.065348248613
846,OREGON,2,8155.00918579102,408.470098050116
847,OREGON,2,4683.08215332031,262.414965359913
848,OREGON,2,4209.39025878906,278.895944595004
849,OREGON,2,2029.33654785156,215.60143927607
850,OREGON,2,6588.60961914063,386.487005577119
851,OREGON,2,1442.60739135742,168.130725648225
852,OREGON,2,9942.12506103516,485.221171457561
853,OREGON,2,4763.83233642578,300.804665553132
854,OREGON,1,8889.2294921875,393.325365131407
855,OREGON,2,5560.48663330078,283.019830255151
856,OREGON,2,3547.2932434082,228.781400014016
857,OREGON,2,2266.17553710938,177.253504550014
858,OREGON,2,3611.89657592773,227.451745756401
859,OREGON,2,2067.02020263672,177.165768796641
860,OREGON,2,3983.30621337891,325.839179852167
861,OREGON,2,2680.66525268555,196.868871354621
862,OREGON,2,1717.12405395508,153.319683888037
863,OREGON,2,4806.880859375,269.031570343286
864,OREGON,2,3030.54644775391,220.878680496706
865,OREGON,2,3746.46118164063,238.324914944162
866,OREGON,2,2637.59329223633,203.875173385607
867,OREGON,2,3025.16021728516,217.466932828532
868,OREGON,2,3994.07684326172,259.541266083351
869,OREGON,1,4885.57165527344,281.462700251569
870,OREGON,1,2306.46362304688,190.810922118398
871,OREGON,2,27618.979309082,1105.63967849558
872,OREGON,2,5684.20263671875,324.099237327624
873,OREGON,2,3692.57183837891,319.16782786071
874,OREGON,2,2056.21807861328,217.266182428268
875,OREGON,2,3148.92260742188,242.796423745269
876,OREGON,2,6841.49655151367,365.042853334061
877,OREGON,2,968.899108886719,118.947064769264
878,OREGON,2,882.772888183594,109.958459192695
879,OREGON,2,1383.36404418945,141.528962400323
880,OREGON,2,2104.65954589844,180.2227174229
881,OREGON,2,4887.55197143555,293.280731834631
882,OREGON,2,1334.93090820313,140.946730130997
883,OREGON,2,2546.04898071289,203.972026000723
884,OREGON,2,1238.03622436523,142.477939146252
